Description,Code,Jobs,Median,Change,Mean,Change,10,20,25,30,40,60,70,75,80,90
ALL EMPLOYEES,,"24,376",11.14,,14.71,,6.31,7.26,7.81,8.39,9.59,13.08,15.58,17.19,19.01,25.00
All Industries and Services,,"24,359",11.13,,14.71,,6.31,7.26,7.81,8.38,9.59,13.08,15.57,17.18,19.00,25.00
All Index of Production Industries,,"2,675",12.15,,14.49,,7.10,8.36,8.93,9.51,10.72,13.87,15.90,17.15,18.67,24.34
All Manufacturing,,"2,332",11.89,,14.10,,7.00,8.18,8.74,9.31,10.51,13.48,15.53,16.74,18.15,23.49
All Service Industries,,"20,690",10.91,,14.79,,6.25,7.11,7.62,8.17,9.40,12.96,15.57,17.26,19.14,25.16
"AGRICULTURE, FORESTRY AND FISHING ",A ,125,8.51,,9.82,,6.23,6.77,7.01,7.33,7.89,9.25,10.14,10.82,11.56,14.37
"Crop and animal production, hunting and related service activities ",1,112,8.34,,9.61,,6.21,6.72,7.00,7.24,7.75,9.06,9.87,10.38,11.23,13.72
Forestry and logging ,2,9,11.56,,12.70,,7.53,8.74,9.69,10.14,10.62,12.32,14.15,14.86,x,x
Fishing and aquaculture ,3,x,7.97,,9.55,,x,x,x,7.27,7.69,9.02,x,x,x,x
MINING AND QUARRYING ,B ,48,17.58,,20.53,,9.32,10.63,11.35,12.44,14.51,20.60,24.13,26.28,28.11,x
Mining of coal and lignite ,5,8,14.55,,17.29,,9.69,11.14,11.30,12.60,13.76,16.27,23.00,x,x,x
Extraction of crude petroleum and natural gas ,6,11,28.08,,33.44,,x,19.38,20.31,22.39,25.62,33.16,37.04,x,x,x
Mining of metal ores ,7,..,,,,,,,,,,,,,,
Other mining and quarrying ,8,17,11.55,,13.83,,8.20,9.03,9.53,9.98,10.59,13.30,15.27,16.89,18.91,x
Mining support service activities ,9,12,19.27,,22.26,,10.51,12.80,13.39,14.34,17.96,22.18,24.50,x,x,x
MANUFACTURING ,C ,"2,332",11.89,,14.10,,7.00,8.18,8.74,9.31,10.51,13.48,15.53,16.74,18.15,23.49
Manufacture of food products ,10,352,9.08,,11.95,,6.34,6.96,7.21,7.53,8.29,10.29,11.96,13.06,14.47,19.23
Manufacture of beverages ,11,36,13.69,,16.24,,8.75,10.14,10.56,11.27,12.35,15.59,17.37,18.53,20.32,x
Manufacture of tobacco products ,12,5,20.36,,21.30,,x,16.89,17.41,17.91,19.26,20.85,21.94,x,x,x
Manufacture of textiles ,13,44,9.02,,11.11,,6.13,6.83,7.24,7.67,8.40,9.88,10.92,12.29,13.22,x
Manufacture of wearing apparel ,14,22,8.06,,10.75,,5.93,6.06,6.30,6.56,7.22,9.18,11.13,11.98,x,x
Manufacture of leather and related products ,15,7,8.85,,11.78,,x,6.75,6.86,7.21,7.85,10.74,x,x,x,x
