Description,Code,Jobs,Median,Change,Mean,Change,10,20,25,30,40,60,70,75,80,90
ALL EMPLOYEES,,"27,283",15.88,7.4,20.05,6.9,10.7,11.54,12.02,12.65,14.09,18.2,21.27,23.11,25.33,32.42
All Industries and Services,,"27,272",15.88,7.4,20.05,6.9,10.7,11.54,12.02,12.65,14.09,18.2,21.27,23.11,25.33,32.42
All Index of Production Industries,,"2,778",16.89,8.4,19.89,7.9,11.24,12.5,13.09,13.77,15.19,19.04,21.92,23.65,25.56,31.95
All Manufacturing,,"2,442",16.66,8.5,19.6,8,11.13,12.4,13,13.65,15,18.76,21.57,23.39,25.17,31.29
All Service Industries,,"23,337",15.68,7.4,20.09,6.8,10.64,11.46,11.94,12.49,13.91,18.08,21.21,23.04,25.28,32.46
"AGRICULTURE, FORESTRY AND FISHING ",A ,157,12.76,7.9,14.95,12,10.42,10.8,11.03,11.37,11.93,13.77,14.99,16.15,17.38,21.8
"Crop and animal production, hunting and related service activities ",1,139,12.5,8.3,14.55,11.9,10.42,10.68,10.97,11.19,11.77,13.41,14.53,15.71,16.78,21.31
Forestry and logging ,2,12,14.41,2.9,15.48,1.5,x,11.95,12.45,12.97,13.19,14.76,16.01,16.78,x,x
Fishing and aquaculture ,3,x,18.43,19.3,23.7,15.4,x,x,x,15.51,17.52,20.5,x,x,x,x
MINING AND QUARRYING ,B,31,21.73,15.9,25.77,2.6,12.96,14.19,15.08,15.97,18.9,23.28,27.3,30.13,x,x
Mining of coal and lignite ,5,x,x,,22.85,13.9,x,x,x,x,x,x,x,x,x,x
Extraction of crude petroleum and natural gas ,6,x,x,,50.91,11.7,x,x,x,x,x,58.41,x,x,x,x
Mining of metal ores ,7,:,,,,,,,,,,,,,,
Other mining and quarrying ,8,17,17.12,1.5,19.59,-6.4,12.1,13.46,13.64,13.96,15.32,19.75,21.97,22.4,x,x
Mining support service activities ,9,8,22.78,9.5,27.64,1.7,x,17.03,17.18,19.09,21.74,27.68,x,x,x,x
MANUFACTURING ,C ,"2,442",16.66,8.5,19.6,8,11.13,12.4,13,13.65,15,18.76,21.57,23.39,25.17,31.29
Manufacture of food products ,10,351,13.7,8.2,16.62,6.5,10.67,11.22,11.55,11.94,12.75,15.07,16.78,18.25,19.71,25.6
Manufacture of beverages ,11,48,17.92,12.6,21.47,13.8,11.46,13.03,13.98,15.11,16.57,19.27,22.83,24.15,25.76,x
Manufacture of tobacco products ,12,:,,,,,,,,,,,,,,
Manufacture of textiles ,13,44,13.38,11.1,16.45,11.1,10.56,11,11.3,11.62,12.28,14.89,16.52,18.23,19.68,x
Manufacture of wearing apparel ,14,14,11.87,8.9,13.12,-6.7,x,10.42,10.51,10.71,11.12,12.48,13.04,13.73,14.12,x
Manufacture of leather and related products ,15,7,12.89,14.8,15.35,16.6,x,10.93,11.1,11.38,12.07,13.97,x,x,x,x
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,56,14.28,5.7,17.38,7.4,10.86,11.7,11.98,12.34,13,15.49,17.33,18.15,19.83,x
Manufacture of paper and paper products ,17,59,16.51,7.9,19.28,8.6,11.38,12.54,13.08,13.99,15.23,18.77,21.11,22.33,23.83,x
Printing and reproduction of recorded media ,18,61,14.6,5.5,17.56,6.9,10.65,11.5,12.01,12.45,13.51,16.42,18.41,19.93,22.26,x
Manufacture of coke and refined petroleum products ,19,15,29.29,9.7,28.46,7.1,13.59,15.98,17.52,19.91,24.48,31.28,35.05,36.19,x,x
Manufacture of chemicals and chemical products ,20,104,17.89,1.3,21.13,3.8,11.56,12.91,13.54,14.52,15.79,20.29,23.32,24.46,27.32,x
Manufacture of basic pharmaceutical products and pharmaceutical preparations ,21,44,18.25,12.9,20.16,15.1,11.78,13.17,13.82,14.58,16.06,19.9,21.76,22.9,24.56,x
Manufacture of rubber and plastic products ,22,161,14.7,8.5,17.71,8.7,10.79,11.74,12.22,12.7,13.53,15.94,18.37,19.54,21.21,26.95
Manufacture of other non-metallic mineral products ,23,90,16.01,7.7,18.15,5.8,11.26,12.43,12.97,13.48,14.81,17.7,19.93,21.2,22.45,x
Manufacture of basic metals ,24,79,19.01,6.1,21.07,7.2,12.19,14.06,14.98,15.98,17.38,20.66,23.72,26.25,27.68,x
"Manufacture of fabricated metal products, except machinery and equipment ",25,291,16,6.6,18.35,6.3,11.26,12.5,13.05,13.75,14.76,17.56,19.63,20.97,22.98,27.13
"Manufacture of computer, electronic and optical products ",26,131,18.79,2.6,22.41,7,11.91,13.42,14.29,14.99,16.75,22.54,25.74,27.9,30.21,x
Manufacture of electrical equipment ,27,85,16.82,16.8,19.54,12.5,11.46,12.56,13.01,13.62,14.87,18.79,21.41,24,26.09,x
Manufacture of machinery and equipment n.e.c. ,28,230,18.59,6.7,21.51,5.7,12.39,13.96,14.55,15.19,16.84,20.41,23.24,24.98,26.7,34.07
"Manufacture of motor vehicles, trailers and semi-trailers ",29,154,20.46,10.1,21.95,12.7,12.31,14.14,14.94,15.81,17.49,22.85,24.74,26.46,27.62,34.13
Manufacture of other transport equipment ,30,179,23.72,10,24.99,6.6,14.79,17.49,18.8,20.11,22.42,25.75,28.48,29.83,31.05,35.45
Manufacture of furniture ,31,73,13.79,8.1,15.98,6.5,10.52,11.49,11.7,12,12.88,14.73,16.12,16.87,18.06,x
Other manufacturing ,32,81,15.62,11,18.74,6,10.91,11.89,12.5,13.17,14.5,17.2,20.06,21.68,24.54,x
Repair and installation of machinery and equipment ,33,86,18,9,20.34,9.2,11.78,13.21,13.91,14.58,16.39,20.05,22.78,23.93,25.82,x
"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D ,110,24.12,0.9,26.77,2.6,12.78,15.68,16.68,17.98,20.29,26.85,30.05,33.84,36.94,43.32
"Electricity, gas, steam and air conditioning supply ",35,110,24.12,0.9,26.77,2.6,12.78,15.68,16.68,17.98,20.29,26.85,30.05,33.84,36.94,43.32
"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E ,196,16.92,8.2,18.71,5.3,11.51,12.73,13.43,13.96,15.31,18.66,20.5,21.63,23.18,28.96
"Water collection, treatment and supply ",36,61,19.18,3.9,20.77,4.6,12.76,14.94,15.89,16.45,17.81,21.15,22.54,23.38,25.18,x
Sewerage ,37,24,19.28,18.4,21.81,15.3,11.55,14.3,15.7,17.24,18.43,21.1,23.27,26.81,x,x
"Waste collection, treatment and disposal activities; materials recovery ",38,107,15,7.4,17.15,5.1,11.23,12.1,12.55,13.02,13.86,16.44,18.31,19.41,20.51,26.31
Remediation activities and other waste management services ,39,x,14.25,,15.26,-12.6,x,x,x,11.34,13.02,15.35,x,x,x,x
CONSTRUCTION ,F ,"1,000",17.24,5.4,20.59,6,11.06,12.5,13.25,14.06,15.58,19.25,21.93,24.04,26.46,33.66
Construction of buildings ,41,336,19.23,6.2,23.57,6.1,11.49,12.98,13.81,14.72,16.73,21.99,26.19,28.7,31.2,40.4
Civil engineering ,42,154,18.01,-2.5,20.86,-0.8,11.7,13.46,14.31,14.96,16.04,20.43,23.25,25.52,28.14,34.34
